age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference,total_spend,online_spend_ratio,age_group,income_group,tech_adoption_score
56,155179,5.4,7,1.9,3,9,0,12,52138,79761,2,0,2,10,3,10,1,7,9,3,4,Female,Tier 2,Store,131899,0.3952873031637844,Boomer,Upper-Mid,4.9399999999999995
35,20993,5.2,10,1.4,10,8,40,7,24961,12163,7,4,7,10,4,9,5,4,7,2,2,Male,Tier 1,Online,37124,0.67236827928025,Millennial,Low,5.959999999999999
21,242413,3.8,9,3.6,2,1,42,8,112610,37711,5,9,6,9,6,6,4,3,4,4,10,Female,Tier 1,Store,150321,0.7491301947166398,GenZ,High,2.84
42,108650,4.7,1,3.1,10,10,26,9,103258,140980,2,6,2,3,7,10,6,1,5,3,9,Other,Tier 2,Store,244238,0.42277614458028645,GenX,Middle,6.5
77,249397,8.3,12,3.1,9,9,26,19,10552,143281,9,1,6,4,4,4,7,1,7,10,1,Female,Tier 3,Store,153833,0.0685938647754383,Silent,High,7.540000000000001
31,132595,1.9,7,0.1,6,3,28,9,70970,20249,2,4,2,4,8,3,5,6,6,2,10,Male,Tier 1,Store,91219,0.7780177375327508,Millennial,Middle,2.58
67,67066,6.1,11,2.0,7,8,4,15,131931,84210,7,8,6,10,4,1,5,2,6,1,9,Female,Tier 2,Store,216141,0.6103932155398559,Silent,Lower-Mid,5.84
75,126850,6.1,12,4.1,6,5,2,8,63618,6736,1,2,7,3,10,4,9,9,8,4,4,Male,Tier 1,Store,70354,0.9042556215709128,Silent,Middle,5.459999999999999
26,57942,6.2,1,3.0,1,6,28,5,42865,74798,6,1,4,9,6,3,8,9,4,4,4,Male,Tier 3,Store,117663,0.36430313692494665,Millennial,Low,4.4799999999999995
43,31138,7.5,5,1.0,5,3,40,11,20700,93830,6,4,4,10,5,3,8,3,8,3,5,Other,Tier 2,Store,114530,0.18073867109054395,GenX,Low,4.8
70,133558,6.1,1,4.7,3,7,38,16,112780,45820,5,8,3,4,1,2,5,9,5,3,10,Other,Tier 1,Store,158600,0.7110970996216898,Silent,Middle,5.38
19,190599,5.1,3,0.0,10,2,12,9,45262,75090,7,9,6,8,7,10,1,8,3,9,6,Male,Tier 3,Store,120352,0.376080164849774,GenZ,Upper-Mid,4.4399999999999995
37,24190,4.7,8,2.7,8,3,32,10,95314,64682,10,3,1,5,3,2,10,10,7,1,6,Female,Tier 3,Store,159996,0.5957273931848296,GenX,Low,4.619999999999999
45,107259,8.6,13,4.7,7,2,19,8,121443,2632,8,0,4,6,9,3,8,8,3,10,7,Female,Tier 3,Online,124075,0.978787023977433,GenX,Lower-Mid,6.18
64,93422,8.1,4,0.5,9,9,2,17,12681,73056,2,5,5,3,10,7,2,7,1,10,10,Other,Tier 3,Store,85737,0.14790580496168515,Boomer,Lower-Mid,6.94
77,201770,11.8,12,1.9,1,3,5,2,14174,80428,3,8,7,9,6,3,3,5,7,8,2,Male,Tier 3,Store,94602,0.14982769920297667,Silent,Upper-Mid,5.9
24,97315,5.4,1,0.7,2,8,42,4,81080,1415,8,3,2,4,5,1,3,4,4,7,1,Male,Tier 2,Online,82495,0.9828474452997151,GenZ,Lower-Mid,4.3
61,239782,4.7,1,4.3,2,6,16,4,40995,33647,5,8,3,6,6,5,3,5,3,9,7,Male,Tier 3,Store,74642,0.5492216178558988,Boomer,High,4.34
78,44086,6.9,8,1.4,1,1,46,4,85145,53410,6,6,5,6,7,8,5,9,4,10,5,Other,Tier 2,Store,138555,0.6145213092273826,Silent,Low,3.44
25,163394,6.9,14,3.8,8,6,3,10,115514,107200,4,0,5,8,5,8,8,4,4,4,6,Male,Tier 1,Store,222714,0.5186651939258421,GenZ,Upper-Mid,6.32
64,140604,7.3,8,4.3,4,8,32,3,25654,113813,1,5,1,10,5,5,1,9,6,2,5,Other,Tier 3,Store,139467,0.1839431550115798,Boomer,Middle,6.180000000000001
52,115814,7.7,4,0.8,7,10,32,4,46668,53060,8,1,6,8,4,8,8,9,6,10,8,Female,Tier 2,Store,99728,0.46795283170223007,Boomer,Middle,6.639999999999999
31,134324,7.3,4,0.6,10,3,5,18,53741,92824,4,7,6,6,4,4,6,10,3,2,3,Female,Tier 2,Store,146565,0.3666700781223348,Millennial,Middle,5.640000000000001
34,229641,8.2,10,3.1,1,7,40,10,127570,40905,9,6,7,1,3,3,10,6,6,8,1,Male,Tier 2,Store,168475,0.7572043329870901,Millennial,High,5.5
53,231682,8.4,11,3.5,8,6,13,11,6497,6128,2,6,2,8,8,2,1,5,1,5,1,Male,Tier 3,Online,12625,0.5146138613861386,Boomer,High,6.859999999999999
67,143921,8.5,2,2.4,8,1,45,16,98084,69949,8,3,7,7,6,6,8,2,3,5,2,Female,Tier 3,Store,168033,0.5837186743080228,Silent,Middle,5.68
57,18435,1.5,2,2.5,10,2,6,14,42909,146654,9,0,2,5,7,8,6,4,10,2,2,Female,Tier 2,Store,189563,0.22635746427309128,Boomer,Low,3.5
21,116505,6.5,12,4.4,3,5,5,1,127783,33220,6,6,4,8,3,8,1,3,7,7,4,Female,Tier 3,Store,161003,0.7936684409607274,GenZ,Middle,5.08
19,68331,4.2,6,2.2,9,7,2,0,46694,136414,8,4,4,6,9,6,1,10,4,10,7,Female,Tier 3,Store,183108,0.2550079734364419,GenZ,Lower-Mid,5.319999999999999
79,175014,8.1,8,4.3,5,4,36,5,39103,143083,4,4,5,1,10,7,4,9,6,9,3,Male,Tier 1,Store,182186,0.2146322988594074,Silent,Upper-Mid,5.9
23,205707,1.4,7,1.8,5,6,21,0,99870,77294,10,8,5,4,7,2,10,4,7,3,2,Other,Tier 3,Store,177164,0.5637149759544828,GenZ,High,3.12
71,175131,8.9,7,5.6,5,2,37,14,75058,101241,1,2,5,4,6,5,3,6,8,7,7,Other,Tier 1,Store,176299,0.42574263041764276,Silent,Upper-Mid,6.08
59,203629,4.3,3,1.3,1,5,7,1,116877,85088,2,4,2,1,4,4,3,6,10,1,3,Male,Tier 2,Store,201965,0.5786992795781447,Boomer,High,3.18
21,128457,3.8,12,4.0,10,10,23,7,60914,86637,1,9,5,10,1,2,7,2,10,6,4,Male,Tier 2,Store,147551,0.4128335287459929,GenZ,Middle,6.32
71,67389,6.7,2,1.2,2,3,12,15,108663,12756,9,1,6,1,9,8,10,9,6,10,2,Other,Tier 3,Store,121419,0.8949423072171571,Silent,Lower-Mid,3.9199999999999995
46,68014,5.3,10,3.5,1,1,12,15,100090,14593,5,4,7,6,4,7,3,4,6,8,5,Female,Tier 1,Store,114683,0.8727535903316097,GenX,Lower-Mid,3.22
35,178898,9.6,7,2.5,2,6,0,15,134009,122334,6,4,2,1,9,5,1,3,5,7,10,Male,Tier 1,Store,256343,0.5227722231541333,Millennial,Upper-Mid,5.9399999999999995
43,45297,8.7,4,2.9,9,9,40,19,133533,51599,8,1,4,8,4,10,2,2,5,8,10,Other,Tier 2,Store,185132,0.7212853531534257,GenX,Low,7.659999999999999
61,58890,5.0,1,3.4,9,10,35,18,54175,15079,9,8,1,2,8,5,7,10,3,2,10,Male,Tier 1,Hybrid,69254,0.7822652843157074,Boomer,Low,6.4799999999999995
51,36322,8.1,1,2.8,5,8,31,1,89984,1755,3,2,4,3,10,7,5,8,4,3,7,Male,Tier 1,Online,91739,0.980869641046883,Boomer,Low,6.4
27,50739,4.9,4,2.7,4,4,4,19,96448,40057,2,0,2,3,2,9,10,4,10,6,1,Female,Tier 2,Store,136505,0.7065528735211164,Millennial,Low,4.1
79,155791,4.9,5,0.1,2,8,48,13,88080,131816,3,3,2,4,8,5,10,10,3,6,10,Male,Tier 2,Store,219896,0.40055298868556044,Silent,Upper-Mid,3.9800000000000004
53,94553,7.4,5,4.3,6,5,6,1,111721,12894,6,3,4,8,4,5,10,1,8,2,5,Male,Tier 3,Online,124615,0.896529310275649,Boomer,Lower-Mid,6.0200000000000005
31,23314,8.9,1,4.5,9,3,49,18,12272,95966,1,4,4,3,8,1,8,7,10,1,10,Female,Tier 1,Store,108238,0.11337977420129715,Millennial,Low,6.859999999999999
48,108831,5.1,3,2.4,8,4,44,1,132569,27317,2,2,2,1,4,1,6,10,4,4,2,Male,Tier 3,Store,159886,0.8291470172497905,GenX,Middle,4.92
65,90164,5.3,6,3.2,10,7,31,17,90211,118307,8,7,3,3,5,4,7,8,8,1,10,Female,Tier 1,Store,208518,0.4326293173730805,Boomer,Lower-Mid,6.16
32,122658,6.6,10,4.3,4,5,27,16,31685,132793,8,6,4,9,4,5,8,1,2,5,3,Male,Tier 2,Store,164478,0.1926397451330877,Millennial,Middle,5.3
25,92028,4.2,7,3.3,6,4,32,18,65991,51025,6,0,5,9,3,2,8,4,9,7,9,Male,Tier 3,Store,117016,0.5639485198605318,GenZ,Lower-Mid,4.34
31,51113,9.1,11,1.8,9,3,45,13,147375,78112,8,0,6,9,3,5,2,7,5,1,4,Male,Tier 3,Store,225487,0.6535853508184507,Millennial,Low,6.4
40,132174,4.2,1,0.9,10,3,13,16,130017,1691,8,7,7,4,9,1,10,1,5,8,8,Male,Tier 2,Online,131708,0.9871609924985574,GenX,Middle,4.459999999999999
77,161429,4.7,8,3.3,10,10,12,15,78190,20030,5,4,4,10,8,4,6,10,6,5,3,Male,Tier 1,Store,98220,0.7960700468336388,Silent,Upper-Mid,6.539999999999999
74,244937,9.5,4,2.7,4,6,28,18,127092,79753,4,1,1,9,5,3,7,5,1,1,3,Other,Tier 2,Store,206845,0.6144310957480239,Silent,High,6.34
79,35365,6.4,13,2.5,9,8,49,16,48155,140662,7,7,2,2,2,8,2,3,1,4,6,Female,Tier 3,Store,188817,0.2550352987283984,Silent,Low,6.459999999999999
57,54029,9.9,9,1.5,8,4,39,11,141672,134032,10,7,1,6,4,4,3,10,4,10,10,Male,Tier 2,Store,275704,0.5138554391666424,Boomer,Low,6.659999999999999
38,16737,5.6,11,2.1,3,1,0,3,33852,33315,1,6,1,3,6,8,1,1,10,4,6,Female,Tier 1,Store,67167,0.5039974987717183,GenX,Low,3.46
33,146042,11.0,11,2.9,9,4,46,7,5641,40673,7,6,3,2,6,2,1,3,7,2,1,Male,Tier 2,Store,46314,0.12179902405320206,Millennial,Middle,7.58
62,220704,7.2,6,2.1,5,5,48,0,117780,144379,8,9,4,8,6,1,8,7,5,4,10,Other,Tier 1,Store,262159,0.44926933654766765,Boomer,High,5.3
35,100474,4.5,1,2.5,1,8,48,13,87037,17572,3,1,5,8,3,1,9,7,1,3,2,Female,Tier 1,Store,104609,0.8320221013488324,Millennial,Lower-Mid,4.1
64,93218,4.5,2,2.5,8,7,26,8,78000,97914,8,9,6,4,4,4,6,10,6,10,10,Male,Tier 1,Store,175914,0.44339847880214195,Boomer,Lower-Mid,5.3
70,173571,3.1,3,3.4,5,2,29,17,133230,128907,6,3,4,7,6,4,7,1,5,5,10,Female,Tier 1,Store,262137,0.5082456883232813,Silent,Upper-Mid,3.3199999999999994
41,143692,3.3,2,0.6,5,9,33,11,73094,91378,3,8,2,10,1,7,3,10,8,6,9,Other,Tier 3,Store,164472,0.4444160708205652,GenX,Middle,4.24
43,192229,4.7,10,2.0,2,3,45,1,37559,29767,6,8,4,7,9,2,2,5,9,6,1,Male,Tier 3,Store,67326,0.5578676885601402,GenX,Upper-Mid,3.28
42,202319,4.0,7,1.1,9,9,0,5,133247,126515,6,1,3,4,3,2,4,10,5,6,7,Other,Tier 2,Store,259762,0.5129580154141098,GenX,Upper-Mid,5.42
77,143411,1.0,12,2.7,6,1,33,4,20371,45220,4,9,5,5,7,2,4,9,8,3,2,Other,Tier 2,Store,65591,0.3105761461176076,Silent,Middle,2.34
77,187106,7.7,1,1.4,10,9,6,17,57614,75449,5,1,2,9,10,1,8,4,4,10,10,Male,Tier 1,Store,133063,0.4329828727745504,Silent,Upper-Mid,7.159999999999999
77,15294,7.6,9,3.7,3,7,0,13,63404,86376,5,1,2,2,9,3,2,2,10,9,7,Male,Tier 1,Store,149780,0.4233141941514221,Silent,Low,5.779999999999999
62,244144,6.6,2,2.0,7,2,41,14,111401,132192,6,4,1,1,2,5,10,7,8,10,1,Other,Tier 3,Store,243593,0.45732430734873336,Boomer,High,4.84
58,39596,3.7,4,1.8,2,10,17,12,20920,123720,6,7,2,2,10,2,8,8,1,3,4,Male,Tier 3,Store,144640,0.14463495575221239,Boomer,Low,4.24
46,113185,9.3,8,1.4,7,7,34,8,78438,14175,3,2,3,3,6,3,4,1,4,8,8,Other,Tier 3,Online,92613,0.8469437336011143,GenX,Middle,6.8
32,26434,5.6,11,2.8,2,1,49,18,52711,92060,2,8,1,6,8,7,2,10,3,2,3,Male,Tier 1,Store,144771,0.3640991635065034,Millennial,Low,3.4
62,73382,4.3,3,0.8,5,3,18,0,53242,76108,1,0,4,5,4,7,3,7,5,3,8,Female,Tier 2,Store,129350,0.4116119056822574,Boomer,Lower-Mid,3.4800000000000004
18,53098,6.5,9,2.4,10,7,12,7,124737,50307,1,4,7,3,1,7,9,9,5,8,5,Male,Tier 2,Store,175044,0.7126036882155343,GenZ,Low,6.4799999999999995
42,19655,6.4,7,2.3,10,3,22,15,73916,25764,8,7,5,4,10,1,3,1,4,8,5,Male,Tier 1,Store,99680,0.7415329052969503,GenX,Low,5.62
24,98029,1.0,10,1.8,9,2,1,6,83480,30866,4,1,5,6,1,7,8,10,2,4,9,Other,Tier 1,Store,114346,0.7300648907701187,GenZ,Lower-Mid,2.96
26,61228,5.9,12,2.8,9,5,2,15,144764,70719,5,5,2,4,2,4,4,7,2,6,1,Male,Tier 2,Store,215483,0.6718116974424897,Millennial,Lower-Mid,5.720000000000001
41,18771,6.2,12,1.9,6,3,21,12,100216,127455,8,2,7,6,10,7,3,8,8,1,9,Male,Tier 3,Store,227671,0.4401790302673595,GenX,Low,4.659999999999999
18,89099,5.2,3,2.9,3,9,35,12,52391,51551,10,8,5,4,1,4,10,8,9,9,4,Other,Tier 3,Store,103942,0.5040407150141425,GenZ,Lower-Mid,5.06
61,135811,3.4,3,1.8,4,7,48,19,113169,80385,7,6,4,9,1,6,5,10,6,1,8,Female,Tier 2,Store,193554,0.5846895440032239,Boomer,Middle,3.9200000000000004
25,202871,3.4,5,1.5,4,1,7,18,110255,83619,4,8,7,4,5,5,6,1,3,5,4,Other,Tier 3,Store,193874,0.5686941002919422,GenZ,High,2.66
41,77257,7.0,5,2.8,9,1,22,10,59559,20771,7,5,6,1,1,3,9,4,5,3,7,Other,Tier 3,Store,80330,0.7414291049421138,GenX,Lower-Mid,5.36
28,32558,7.5,10,3.5,4,6,7,15,43151,80138,3,8,5,2,1,1,2,3,5,1,3,Female,Tier 3,Store,123289,0.34999878334644613,Millennial,Low,5.7
68,245540,5.1,5,6.0,4,4,24,8,50494,17187,6,1,7,3,10,5,8,8,10,9,6,Male,Tier 2,Store,67681,0.7460587166265273,Silent,High,4.84
34,73436,6.8,12,2.1,5,1,34,12,134725,106660,2,9,1,2,9,1,7,1,4,5,5,Male,Tier 3,Store,241385,0.5581332725728608,Millennial,Lower-Mid,4.340000000000001
25,122779,5.1,13,3.5,6,9,46,18,145382,145371,6,1,2,6,8,4,8,4,6,4,7,Other,Tier 1,Store,290753,0.5000189163998308,GenZ,Middle,5.74
52,139891,4.3,9,1.9,8,2,10,9,1164,86326,6,3,3,6,1,3,2,2,10,7,4,Female,Tier 1,Store,87490,0.013304377643159218,Boomer,Middle,4.1
52,238175,6.4,9,3.5,1,1,40,6,80641,99481,3,4,5,9,7,3,6,2,10,1,1,Female,Tier 2,Store,180122,0.4477021130122917,Boomer,High,3.66
50,47376,3.7,6,4.2,5,3,42,16,70398,58088,10,9,5,3,5,4,7,6,1,9,5,Female,Tier 3,Store,128486,0.5479040518033093,GenX,Low,3.9200000000000004
76,233530,9.8,11,2.7,9,10,5,9,113422,96655,9,8,2,5,7,9,3,2,1,5,5,Female,Tier 2,Store,210077,0.5399067960795327,Silent,High,8.260000000000002
22,92924,3.1,11,3.4,10,1,41,1,27127,117933,5,1,6,1,3,3,8,3,9,8,2,Other,Tier 1,Store,145060,0.18700537708534398,GenZ,Lower-Mid,4.119999999999999
59,44332,6.6,7,3.1,4,4,41,17,52646,124644,5,7,1,3,6,7,5,9,6,9,1,Other,Tier 3,Store,177290,0.2969485024536071,Boomer,Low,4.86
56,146001,6.3,10,2.5,8,4,49,15,44124,33055,1,4,6,5,8,7,10,6,9,6,6,Male,Tier 1,Store,77179,0.5717099210925252,Boomer,Middle,5.42
